Date,strategy,rolling_return
2007-04-26,equal_weight,0.14409743803219835
2007-04-27,equal_weight,0.14540751036477922
2007-04-30,equal_weight,0.14592234602120824
2007-05-01,equal_weight,0.15698944485319935
2007-05-02,equal_weight,0.17337811710354792
2007-05-03,equal_weight,0.17266110967738213
2007-05-04,equal_weight,0.21104445632625776
2007-05-07,equal_weight,0.21544472803942666
2007-05-08,equal_weight,0.20644680996284176
2007-05-09,equal_weight,0.22654972199613915
2007-05-10,equal_weight,0.21368583145659842
2007-05-11,equal_weight,0.23173179479056832
2007-05-14,equal_weight,0.21544189680369924
2007-05-15,equal_weight,0.20617059907740776
2007-05-16,equal_weight,0.20434933943628275
2007-05-17,equal_weight,0.21676485901920425
2007-05-18,equal_weight,0.21504598056877863
2007-05-21,equal_weight,0.20433893631081754
2007-05-22,equal_weight,0.19042379601921441
2007-05-23,equal_weight,0.21696253008563535
2007-05-24,equal_weight,0.22275267580781644
2007-05-25,equal_weight,0.22044559418512955
2007-05-28,equal_weight,0.24555717183265566
2007-05-29,equal_weight,0.23897767097693495
2007-05-30,equal_weight,0.25109914665863053
2007-05-31,equal_weight,0.2834514500322362
2007-06-01,equal_weight,0.2814002801403018
2007-06-04,equal_weight,0.25882831656885463
2007-06-05,equal_weight,0.25701239084822325
2007-06-06,equal_weight,0.24475847854252805
2007-06-07,equal_weight,0.22682692788713416
2007-06-08,equal_weight,0.22095945386577026
2007-06-11,equal_weight,0.22556101100853976
2007-06-12,equal_weight,0.21907863819194592
2007-06-13,equal_weight,0.22166947592322964
2007-06-14,equal_weight,0.23883445605748865
2007-06-15,equal_weight,0.2507031521365815
2007-06-18,equal_weight,0.22373288044800593
2007-06-19,equal_weight,0.20777381097455844
2007-06-20,equal_weight,0.19332530348857124
2007-06-21,equal_weight,0.18386017790785433
2007-06-22,equal_weight,0.18767948737077453
2007-06-25,equal_weight,0.17631945714974265
2007-06-26,equal_weight,0.16777160315836512
2007-06-27,equal_weight,0.16499727808371714
2007-06-28,equal_weight,0.16764438761875544
2007-06-29,equal_weight,0.18247842677100454
2007-07-02,equal_weight,0.20423534702144014
2007-07-03,equal_weight,0.22759385944408014
2007-07-04,equal_weight,0.23745132966052365
2007-07-05,equal_weight,0.23462208816296673
2007-07-06,equal_weight,0.20918345234366834
2007-07-09,equal_weight,0.20561686383669925
2007-07-10,equal_weight,0.20244973322773194
2007-07-11,equal_weight,0.18224550773820083
2007-07-12,equal_weight,0.19772662925192414
2007-07-13,equal_weight,0.19799675219316754
2007-07-16,equal_weight,0.19223124134409084
2007-07-17,equal_weight,0.17448546063511333
2007-07-18,equal_weight,0.16594684898573642
2007-07-19,equal_weight,0.17108413260432842
2007-07-20,equal_weight,0.14684812451418952
2007-07-23,equal_weight,0.14931471586132472
2007-07-24,equal_weight,0.12163331323213664
2007-07-25,equal_weight,0.12736210248016655
2007-07-26,equal_weight,0.10703382143165394
2007-07-27,equal_weight,0.09097488131099654
2007-07-30,equal_weight,0.09988646494757253
2007-07-31,equal_weight,0.11581174531574695
2007-08-01,equal_weight,0.09507600530388445
2007-08-02,equal_weight,0.08815676999715304
2007-08-03,equal_weight,0.060523358987621644
2007-08-06,equal_weight,0.06837528985076254
2007-08-07,equal_weight,0.08765918715995963
